Kind of test,Test p4 file,Explanation for failure
checker,examples/checker_tests/good/constsigned.p4,bitslice of int<> values (bad test?)
checker,examples/checker_tests/good/default-control-argument.p4,implicit cast in default argument (unsupported)
checker,examples/checker_tests/good/type-params.p4,don't care as type parameter
checker,examples/checker_tests/good/issue1879-bmv2.p4,modulo undef for bit<> values
checker,examples/checker_tests/good/psa-portid-using-newtype2.p4,binop typecheck isn't saturating types before running
checker,examples/checker_tests/good/issue1638.p4,default argument implicit cast (unsupported)
checker,examples/checker_tests/good/issue1937-3-bmv2.p4,default arguments (unsupported)
checker,examples/checker_tests/good/action-two-params.p4,apparent coercion t <-> tuple<t> in set context
checker,examples/checker_tests/good/names.p4,cast to struct not being done in const list initializer
checker,examples/checker_tests/good/unused.p4,don't care as type parameter
checker,examples/checker_tests/good/arch1.p4,don't care as type parameter
checker,examples/checker_tests/good/issue1937-2-bmv2.p4,optional arguments
checker,examples/checker_tests/good/default-package-argument.p4,default arguments
checker,examples/checker_tests/good/virtual3.p4,abstract method implementations
checker,examples/checker_tests/good/spec-ex15.p4,don't care as type parameter
checker,examples/checker_tests/good/functors8.p4,generic declarations
checker,examples/checker_tests/good/issue1304.p4,optional parameters
checker,examples/checker_tests/good/table-entries-ser-enum-bmv2.p4,serializable enum as match key
checker,examples/checker_tests/good/pvs-nested-struct.p4,flattening struct in match
checker,examples/checker_tests/good/functors6.p4,generic declarations
checker,examples/checker_tests/good/struct1.p4,cast to struct not being done in const list initializer
checker,examples/checker_tests/good/precedence.p4,division undef for bit<> values
checker,examples/checker_tests/good/virtual.p4,abstract method implementations
checker,examples/checker_tests/good/bfd_offload.p4,abstract method implementations
checker,examples/checker_tests/good/virtual2.p4,abstract method implementations
checker,examples/checker_tests/good/cast_noop.p4,int -> bool cast not allowed
checker,examples/checker_tests/good/strength.p4,division undef for bit<> values
checker,examples/checker_tests/good/twoPipe.p4,don't care type as type parameter
checker,examples/checker_tests/good/functors7.p4,generic declarations
checker,examples/checker_tests/good/default-switch.p4,default allowed to not be last label (bad test)
checker,examples/checker_tests/good/issue304-1.p4,abstract method implementations
checker,examples/checker_tests/good/issue803-2.p4,don't care type as type parameter
checker,examples/checker_tests/good/functors9.p4,generic delcarations
checker,examples/checker_tests/good/enum-folding.p4,type member getting saturated
checker,examples/checker_tests/good/pvs-struct.p4,value set match against 1element struct
checker,examples/checker_tests/good/issue1713-bmv2.p4,bit slice on integers
checker,examples/checker_tests/good/named-arg1.p4,optional parameters
checker,examples/checker_tests/good/newtype.p4,cast into new type not allowed
checker,examples/checker_tests/good/issue1937-1-bmv2.p4,default arguments
checker,examples/checker_tests/good/list-compare.p4,equality for tuples
checker,examples/checker_tests/good/struct.p4,cast to struct not being done in const list initializer
checker,examples/checker_tests/good/constant_folding.p4,division for bit<>
checker,examples/checker_tests/good/issue1937.p4,default value
checker,examples/checker_tests/good/simple.p4,bad test
checker,examples/checker_tests/good/issue1333.p4,default arguments
checker,examples/checker_tests/good/cast-call.p4,parser bug in casts of fn calls
checker,examples/checker_tests/good/table-entries-range-bmv2.p4,range on integers
checker,examples/checker_tests/bad/issue1803_same_table_name.p4,should reject programs with control plane name conflicts
checker,examples/checker_tests/bad/extract1.p4,extract with size param should only work on variable sized headers
checker,examples/checker_tests/bad/issue1541.p4,action shadowing extern fn should be rejected
checker,examples/checker_tests/bad/nostart.p4,reject parser with no start state
checker,examples/checker_tests/bad/issue1580.p4,respect @defaultonly and @tableonly action annotations
checker,examples/checker_tests/bad/call-table.p4,reject table.apply() inside an action
checker,examples/checker_tests/bad/issue764.p4,int as type parameter allows it to be used as runtime data
checker,examples/checker_tests/bad/psa-type-hdr.p4,newtype restricted to base types (unnecessary restriction?)
checker,examples/checker_tests/bad/issue818.p4,parameter restrictions in spec appendix F
checker,examples/checker_tests/bad/issue600.p4,lookahead should not work on variable width headers
checker,examples/checker_tests/bad/template_e.p4,type argument names should be distinct
checker,examples/checker_tests/bad/persistent_e.p4,constructor args should be compile time known
checker,examples/checker_tests/bad/typedef-and-type-definitions.p4,newtype restricted to base types (unnecessary restriction?)
checker,examples/checker_tests/bad/function_e1.p4,reject function if it does not return on all paths
checker,examples/checker_tests/bad/missing_actions.p4,reject table with no actions property
checker,examples/checker_tests/bad/issue413.p4,do not allow action calls in parser
checker,examples/checker_tests/bad/constructor_e.p4,reject extern constructor with return type
checker,examples/checker_tests/bad/push_nonconstant.p4,push_front arg should be ctk
checker,examples/checker_tests/bad/assign.p4,externs are never LValues
checker,examples/checker_tests/bad/extract.p4,extract only defined for headers
checker,examples/checker_tests/bad/issue1932.p4,functions cannot shadow controls
checker,examples/checker_tests/bad/default_action1.p4,default action check should be scope-sensitive
checker,examples/checker_tests/bad/issue816-1.p4,parameter restrictions in spec appendix F
